record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
27,2025-06-11 18:29:00,6083.00,6083.25,6083.00,6083.25,1,2,3,-1,10,297
28,2025-06-11 18:30:00,6083.25,6083.75,6083.00,6083.00,13,8,21,5,15,318
29,2025-06-11 18:31:00,6083.50,6084.50,6083.50,6084.25,3,5,8,-2,13,326
30,2025-06-11 18:34:00,6084.00,6084.25,6084.00,6084.25,3,1,4,2,15,330
31,2025-06-11 18:35:00,6084.75,6085.00,6084.75,6084.75,4,2,6,2,17,336
32,2025-06-11 18:36:00,6084.75,6084.75,6082.75,6082.75,15,46,61,-31,-14,397
33,2025-06-11 18:37:00,6083.25,6083.50,6083.25,6083.50,4,8,12,-4,-18,409
34,2025-06-11 18:38:00,6082.50,6082.50,6081.00,6081.00,10,5,15,5,-13,424
35,2025-06-11 18:39:00,6081.00,6081.25,6081.00,6081.00,7,2,9,5,-8,433
36,2025-06-11 18:40:00,6081.25,6081.25,6080.00,6080.25,9,12,21,-3,-11,454
37,2025-06-11 18:41:00,6080.50,6080.50,6080.00,6080.50,3,1,4,2,-9,458
38,2025-06-11 18:42:00,6081.00,6081.50,6081.00,6081.25,5,1,6,4,-5,464
39,2025-06-11 18:43:00,6081.50,6082.00,6081.50,6082.00,2,1,3,1,-4,467
40,2025-06-11 18:44:00,6081.75,6081.75,6080.75,6080.75,0,2,2,-2,-6,469
41,2025-06-11 18:45:00,6081.00,6081.25,6081.00,6081.25,5,1,6,4,-2,475
42,2025-06-11 18:46:00,6081.00,6081.00,6080.25,6080.25,2,3,5,-1,-3,480
43,2025-06-11 18:47:00,6080.50,6080.75,6080.50,6080.75,2,0,2,2,-1,482
44,2025-06-11 18:48:00,6080.75,6080.75,6079.75,6079.75,1,7,8,-6,-7,490
45,2025-06-11 18:49:00,6080.00,6080.50,6080.00,6080.25,1,4,5,-3,-10,495
46,2025-06-11 18:50:00,6080.50,6080.50,6079.75,6080.25,7,1,8,6,-4,503
47,2025-06-11 18:51:00,6080.25,6080.25,6079.25,6079.50,5,10,15,-5,-9,518
48,2025-06-11 18:52:00,6080.25,6080.25,6076.25,6076.25,24,36,60,-12,-21,578
49,2025-06-11 18:53:00,6076.50,6078.00,6074.50,6075.75,29,31,60,-2,-23,638
50,2025-06-11 18:54:00,6075.25,6075.25,6073.50,6073.75,12,12,24,0,-23,662
51,2025-06-11 18:55:00,6073.25,6073.25,6070.75,6071.00,62,53,115,9,-14,777
52,2025-06-11 18:56:00,6071.25,6071.25,6070.25,6071.00,11,30,41,-19,-33,818
53,2025-06-11 18:57:00,6071.00,6071.00,6069.00,6069.50,12,29,41,-17,-50,859
54,2025-06-11 18:58:00,6069.75,6072.50,6069.25,6071.50,39,29,68,10,-40,927
